Theme,date,date_name,geography_code,geography_name,geography_type,variable_code,variable_name,measures_code,measures_name,value
employment,2007-03-01,Apr 2006-Mar 2007,E12000002,North West,regions,45,Employment rate - aged 16-64,20599,Variable,70.5
employment,2007-03-01,Apr 2006-Mar 2007,E12000002,North West,regions,45,Employment rate - aged 16-64,21001,Numerator,3128600
employment,2007-03-01,Apr 2006-Mar 2007,E12000003,Yorkshire and The Humber,regions,45,Employment rate - aged 16-64,20599,Variable,71.8
employment,2007-03-01,Apr 2006-Mar 2007,E12000003,Yorkshire and The Humber,regions,45,Employment rate - aged 16-64,21001,Numerator,2369400
employment,2007-06-01,Jul 2006-Jun 2007,E12000001,North East,regions,45,Employment rate - aged 16-64,20599,Variable,69.5
employment,2007-06-01,Jul 2006-Jun 2007,E12000001,North East,regions,45,Employment rate - aged 16-64,21001,Numerator,1143700
employment,2007-06-01,Jul 2006-Jun 2007,E12000002,North West,regions,45,Employment rate - aged 16-64,20599,Variable,70.6
employment,2007-06-01,Jul 2006-Jun 2007,E12000002,North West,regions,45,Employment rate - aged 16-64,21001,Numerator,3137100
employment,2007-06-01,Jul 2006-Jun 2007,E12000003,Yorkshire and The Humber,regions,45,Employment rate - aged 16-64,20599,Variable,71.4
employment,2007-06-01,Jul 2006-Jun 2007,E12000003,Yorkshire and The Humber,regions,45,Employment rate - aged 16-64,21001,Numerator,2360400
employment,2007-09-01,Oct 2006-Sep 2007,E12000001,North East,regions,45,Employment rate - aged 16-64,20599,Variable,69.6
employment,2007-09-01,Oct 2006-Sep 2007,E12000001,North East,regions,45,Employment rate - aged 16-64,21001,Numerator,1146500
employment,2007-09-01,Oct 2006-Sep 2007,E12000002,North West,regions,45,Employment rate - aged 16-64,20599,Variable,70.2
employment,2007-09-01,Oct 2006-Sep 2007,E12000002,North West,regions,45,Employment rate - aged 16-64,21001,Numerator,3124100
employment,2007-09-01,Oct 2006-Sep 2007,E12000003,Yorkshire and The Humber,regions,45,Employment rate - aged 16-64,20599,Variable,71.5
employment,2007-09-01,Oct 2006-Sep 2007,E12000003,Yorkshire and The Humber,regions,45,Employment rate - aged 16-64,21001,Numerator,2368200
employment,2007-12-01,Jan 2007-Dec 2007,E12000001,North East,regions,45,Employment rate - aged 16-64,20599,Variable,69.6
employment,2007-12-01,Jan 2007-Dec 2007,E12000001,North East,regions,45,Employment rate - aged 16-64,21001,Numerator,1148700
employment,2007-12-01,Jan 2007-Dec 2007,E12000002,North West,regions,45,Employment rate - aged 16-64,20599,Variable,70.5
employment,2007-12-01,Jan 2007-Dec 2007,E12000002,North West,regions,45,Employment rate - aged 16-64,21001,Numerator,3140300
employment,2007-12-01,Jan 2007-Dec 2007,E12000003,Yorkshire and The Humber,regions,45,Employment rate - aged 16-64,20599,Variable,71.3
employment,2007-12-01,Jan 2007-Dec 2007,E12000003,Yorkshire and The Humber,regions,45,Employment rate - aged 16-64,21001,Numerator,2368900
employment,2008-03-01,Apr 2007-Mar 2008,E12000001,North East,regions,45,Employment rate - aged 16-64,20599,Variable,69.3
employment,2008-03-01,Apr 2007-Mar 2008,E12000001,North East,regions,45,Employment rate - aged 16-64,21001,Numerator,1145900
employment,2008-03-01,Apr 2007-Mar 2008,E12000002,North West,regions,45,Employment rate - aged 16-64,20599,Variable,70.3
employment,2008-03-01,Apr 2007-Mar 2008,E12000002,North West,regions,45,Employment rate - aged 16-64,21001,Numerator,3138500
employment,2008-03-01,Apr 2007-Mar 2008,E12000003,Yorkshire and The Humber,regions,45,Employment rate - aged 16-64,20599,Variable,71.7
employment,2008-03-01,Apr 2007-Mar 2008,E12000003,Yorkshire and The Humber,regions,45,Employment rate - aged 16-64,21001,Numerator,2384700
employment,2008-06-01,Jul 2007-Jun 2008,E12000001,North East,regions,45,Employment rate - aged 16-64,20599,Variable,68.8
employment,2008-06-01,Jul 2007-Jun 2008,E12000001,North East,regions,45,Employment rate - aged 16-64,21001,Numerator,1137900
employment,2008-06-01,Jul 2007-Jun 2008,E12000002,North West,regions,45,Employment rate - aged 16-64,20599,Variable,70.1
employment,2008-06-01,Jul 2007-Jun 2008,E12000002,North West,regions,45,Employment rate - aged 16-64,21001,Numerator,3133800
employment,2008-06-01,Jul 2007-Jun 2008,E12000003,Yorkshire and The Humber,regions,45,Employment rate - aged 16-64,20599,Variable,71.3
employment,2008-06-01,Jul 2007-Jun 2008,E12000003,Yorkshire and The Humber,regions,45,Employment rate - aged 16-64,21001,Numerator,2376400
employment,2008-09-01,Oct 2007-Sep 2008,E12000001,North East,regions,45,Employment rate - aged 16-64,20599,Variable,68.9
employment,2008-09-01,Oct 2007-Sep 2008,E12000001,North East,regions,45,Employment rate - aged 16-64,21001,Numerator,1140900
employment,2008-09-01,Oct 2007-Sep 2008,E12000002,North West,regions,45,Employment rate - aged 16-64,20599,Variable,70.1
employment,2008-09-01,Oct 2007-Sep 2008,E12000002,North West,regions,45,Employment rate - aged 16-64,21001,Numerator,3135600
employment,2008-09-01,Oct 2007-Sep 2008,E12000003,Yorkshire and The Humber,regions,45,Employment rate - aged 16-64,20599,Variable,71.5
employment,2008-09-01,Oct 2007-Sep 2008,E12000003,Yorkshire and The Humber,regions,45,Employment rate - aged 16-64,21001,Numerator,2385700
employment,2008-12-01,Jan 2008-Dec 2008,E12000001,North East,regions,45,Employment rate - aged 16-64,20599,Variable,68.6
employment,2008-12-01,Jan 2008-Dec 2008,E12000001,North East,regions,45,Employment rate - aged 16-64,21001,Numerator,1136800
employment,2008-12-01,Jan 2008-Dec 2008,E12000002,North West,regions,45,Employment rate - aged 16-64,20599,Variable,69.4
employment,2008-12-01,Jan 2008-Dec 2008,E12000002,North West,regions,45,Employment rate - aged 16-64,21001,Numerator,3106200
employment,2008-12-01,Jan 2008-Dec 2008,E12000003,Yorkshire and The Humber,regions,45,Employment rate - aged 16-64,20599,Variable,71
employment,2008-12-01,Jan 2008-Dec 2008,E12000003,Yorkshire and The Humber,regions,45,Employment rate - aged 16-64,21001,Numerator,2374700
employment,2009-03-01,Apr 2008-Mar 2009,E12000001,North East,regions,45,Employment rate - aged 16-64,20599,Variable,68.2
employment,2009-03-01,Apr 2008-Mar 2009,E12000001,North East,regions,45,Employment rate - aged 16-64,21001,Numerator,1131600
employment,2009-03-01,Apr 2008-Mar 2009,E12000002,North West,regions,45,Employment rate - aged 16-64,20599,Variable,69.2
employment,2009-03-01,Apr 2008-Mar 2009,E12000002,North West,regions,45,Employment rate - aged 16-64,21001,Numerator,3099800
employment,2009-03-01,Apr 2008-Mar 2009,E12000003,Yorkshire and The Humber,regions,45,Employment rate - aged 16-64,20599,Variable,70.5
employment,2009-03-01,Apr 2008-Mar 2009,E12000003,Yorkshire and The Humber,regions,45,Employment rate - aged 16-64,21001,Numerator,2361300
employment,2009-06-01,Jul 2008-Jun 2009,E12000001,North East,regions,45,Employment rate - aged 16-64,20599,Variable,67.6
employment,2009-06-01,Jul 2008-Jun 2009,E12000001,North East,regions,45,Employment rate - aged 16-64,21001,Numerator,1122000
employment,2009-06-01,Jul 2008-Jun 2009,E12000002,North West,regions,45,Employment rate - aged 16-64,20599,Variable,68.9
employment,2009-06-01,Jul 2008-Jun 2009,E12000002,North West,regions,45,Employment rate - aged 16-64,21001,Numerator,3089900
employment,2009-06-01,Jul 2008-Jun 2009,E12000003,Yorkshire and The Humber,regions,45,Employment rate - aged 16-64,20599,Variable,70.2
employment,2009-06-01,Jul 2008-Jun 2009,E12000003,Yorkshire and The Humber,regions,45,Employment rate - aged 16-64,21001,Numerator,2350700
employment,2009-09-01,Oct 2008-Sep 2009,E12000001,North East,regions,45,Employment rate - aged 16-64,20599,Variable,67
employment,2009-09-01,Oct 2008-Sep 2009,E12000001,North East,regions,45,Employment rate - aged 16-64,21001,Numerator,1112400
employment,2009-09-01,Oct 2008-Sep 2009,E12000002,North West,regions,45,Employment rate - aged 16-64,20599,Variable,68.4
employment,2009-09-01,Oct 2008-Sep 2009,E12000002,North West,regions,45,Employment rate - aged 16-64,21001,Numerator,3071700
employment,2009-09-01,Oct 2008-Sep 2009,E12000003,Yorkshire and The Humber,regions,45,Employment rate - aged 16-64,20599,Variable,69.4
employment,2009-09-01,Oct 2008-Sep 2009,E12000003,Yorkshire and The Humber,regions,45,Employment rate - aged 16-64,21001,Numerator,2327000
employment,2009-12-01,Jan 2009-Dec 2009,E12000001,North East,regions,45,Employment rate - aged 16-64,20599,Variable,66.3
employment,2009-12-01,Jan 2009-Dec 2009,E12000001,North East,regions,45,Employment rate - aged 16-64,21001,Numerator,1101400
employment,2009-12-01,Jan 2009-Dec 2009,E12000002,North West,regions,45,Employment rate - aged 16-64,20599,Variable,68.1
employment,2009-12-01,Jan 2009-Dec 2009,E12000002,North West,regions,45,Employment rate - aged 16-64,21001,Numerator,3059000
employment,2009-12-01,Jan 2009-Dec 2009,E12000003,Yorkshire and The Humber,regions,45,Employment rate - aged 16-64,20599,Variable,68.9
employment,2009-12-01,Jan 2009-Dec 2009,E12000003,Yorkshire and The Humber,regions,45,Employment rate - aged 16-64,21001,Numerator,2309200
employment,2010-03-01,Apr 2009-Mar 2010,E12000001,North East,regions,45,Employment rate - aged 16-64,20599,Variable,65.8
employment,2010-03-01,Apr 2009-Mar 2010,E12000001,North East,regions,45,Employment rate - aged 16-64,21001,Numerator,1095200
employment,2010-03-01,Apr 2009-Mar 2010,E12000002,North West,regions,45,Employment rate - aged 16-64,20599,Variable,67.8
employment,2010-03-01,Apr 2009-Mar 2010,E12000002,North West,regions,45,Employment rate - aged 16-64,21001,Numerator,3047500
employment,2010-03-01,Apr 2009-Mar 2010,E12000003,Yorkshire and The Humber,regions,45,Employment rate - aged 16-64,20599,Variable,68.5
employment,2010-03-01,Apr 2009-Mar 2010,E12000003,Yorkshire and The Humber,regions,45,Employment rate - aged 16-64,21001,Numerator,2301000
employment,2010-06-01,Jul 2009-Jun 2010,E12000001,North East,regions,45,Employment rate - aged 16-64,20599,Variable,66.2
employment,2010-06-01,Jul 2009-Jun 2010,E12000001,North East,regions,45,Employment rate - aged 16-64,21001,Numerator,1102300
employment,2010-06-01,Jul 2009-Jun 2010,E12000002,North West,regions,45,Employment rate - aged 16-64,20599,Variable,68.2
employment,2010-06-01,Jul 2009-Jun 2010,E12000002,North West,regions,45,Employment rate - aged 16-64,21001,Numerator,3068100
employment,2010-06-01,Jul 2009-Jun 2010,E12000003,Yorkshire and The Humber,regions,45,Employment rate - aged 16-64,20599,Variable,68.9
employment,2010-06-01,Jul 2009-Jun 2010,E12000003,Yorkshire and The Humber,regions,45,Employment rate - aged 16-64,21001,Numerator,2314200
employment,2010-09-01,Oct 2009-Sep 2010,E12000001,North East,regions,45,Employment rate - aged 16-64,20599,Variable,66.6
employment,2010-09-01,Oct 2009-Sep 2010,E12000001,North East,regions,45,Employment rate - aged 16-64,21001,Numerator,1108500
employment,2010-09-01,Oct 2009-Sep 2010,E12000002,North West,regions,45,Employment rate - aged 16-64,20599,Variable,68.5
employment,2010-09-01,Oct 2009-Sep 2010,E12000002,North West,regions,45,Employment rate - aged 16-64,21001,Numerator,3083000
employment,2010-09-01,Oct 2009-Sep 2010,E12000003,Yorkshire and The Humber,regions,45,Employment rate - aged 16-64,20599,Variable,68.4
employment,2010-09-01,Oct 2009-Sep 2010,E12000003,Yorkshire and The Humber,regions,45,Employment rate - aged 16-64,21001,Numerator,2301100
employment,2010-12-01,Jan 2010-Dec 2010,E12000001,North East,regions,45,Employment rate - aged 16-64,20599,Variable,66.2
employment,2010-12-01,Jan 2010-Dec 2010,E12000001,North East,regions,45,Employment rate - aged 16-64,21001,Numerator,1103500
employment,2010-12-01,Jan 2010-Dec 2010,E12000002,North West,regions,45,Employment rate - aged 16-64,20599,Variable,68.8
employment,2010-12-01,Jan 2010-Dec 2010,E12000002,North West,regions,45,Employment rate - aged 16-64,21001,Numerator,3102100
employment,2010-12-01,Jan 2010-Dec 2010,E12000003,Yorkshire and The Humber,regions,45,Employment rate - aged 16-64,20599,Variable,68.5
employment,2010-12-01,Jan 2010-Dec 2010,E12000003,Yorkshire and The Humber,regions,45,Employment rate - aged 16-64,21001,Numerator,2305500
employment,2011-03-01,Apr 2010-Mar 2011,E12000001,North East,regions,45,Employment rate - aged 16-64,20599,Variable,65.9
employment,2011-03-01,Apr 2010-Mar 2011,E12000001,North East,regions,45,Employment rate - aged 16-64,21001,Numerator,1098900
employment,2011-03-01,Apr 2010-Mar 2011,E12000002,North West,regions,45,Employment rate - aged 16-64,20599,Variable,68.6
employment,2011-03-01,Apr 2010-Mar 2011,E12000002,North West,regions,45,Employment rate - aged 16-64,21001,Numerator,3096000
employment,2011-03-01,Apr 2010-Mar 2011,E12000003,Yorkshire and The Humber,regions,45,Employment rate - aged 16-64,20599,Variable,68.4
employment,2011-03-01,Apr 2010-Mar 2011,E12000003,Yorkshire and The Humber,regions,45,Employment rate - aged 16-64,21001,Numerator,2304400
employment,2011-06-01,Jul 2010-Jun 2011,E12000001,North East,regions,45,Employment rate - aged 16-64,20599,Variable,65.8
employment,2011-06-01,Jul 2010-Jun 2011,E12000001,North East,regions,45,Employment rate - aged 16-64,21001,Numerator,1097100
employment,2011-06-01,Jul 2010-Jun 2011,E12000002,North West,regions,45,Employment rate - aged 16-64,20599,Variable,68.4
employment,2011-06-01,Jul 2010-Jun 2011,E12000002,North West,regions,45,Employment rate - aged 16-64,21001,Numerator,3088200
employment,2011-06-01,Jul 2010-Jun 2011,E12000003,Yorkshire and The Humber,regions,45,Employment rate - aged 16-64,20599,Variable,67.8
employment,2011-06-01,Jul 2010-Jun 2011,E12000003,Yorkshire and The Humber,regions,45,Employment rate - aged 16-64,21001,Numerator,2288300
employment,2011-09-01,Oct 2010-Sep 2011,E12000001,North East,regions,45,Employment rate - aged 16-64,20599,Variable,64.9
employment,2011-09-01,Oct 2010-Sep 2011,E12000001,North East,regions,45,Employment rate - aged 16-64,21001,Numerator,1083000
employment,2011-09-01,Oct 2010-Sep 2011,E12000002,North West,regions,45,Employment rate - aged 16-64,20599,Variable,68.2
employment,2011-09-01,Oct 2010-Sep 2011,E12000002,North West,regions,45,Employment rate - aged 16-64,21001,Numerator,3079900
employment,2011-09-01,Oct 2010-Sep 2011,E12000003,Yorkshire and The Humber,regions,45,Employment rate - aged 16-64,20599,Variable,67.7
employment,2011-09-01,Oct 2010-Sep 2011,E12000003,Yorkshire and The Humber,regions,45,Employment rate - aged 16-64,21001,Numerator,2286900
employment,2011-12-01,Jan 2011-Dec 2011,E12000001,North East,regions,45,Employment rate - aged 16-64,20599,Variable,64.9
employment,2011-12-01,Jan 2011-Dec 2011,E12000001,North East,regions,45,Employment rate - aged 16-64,21001,Numerator,1083200
employment,2011-12-01,Jan 2011-Dec 2011,E12000002,North West,regions,45,Employment rate - aged 16-64,20599,Variable,68.3
employment,2011-12-01,Jan 2011-Dec 2011,E12000002,North West,regions,45,Employment rate - aged 16-64,21001,Numerator,3087600
employment,2011-12-01,Jan 2011-Dec 2011,E12000003,Yorkshire and The Humber,regions,45,Employment rate - aged 16-64,20599,Variable,67.6
employment,2011-12-01,Jan 2011-Dec 2011,E12000003,Yorkshire and The Humber,regions,45,Employment rate - aged 16-64,21001,Numerator,2285600
employment,2012-03-01,Apr 2011-Mar 2012,E12000001,North East,regions,45,Employment rate - aged 16-64,20599,Variable,65.1
employment,2012-03-01,Apr 2011-Mar 2012,E12000001,North East,regions,45,Employment rate - aged 16-64,21001,Numerator,1084900
employment,2012-03-01,Apr 2011-Mar 2012,E12000002,North West,regions,45,Employment rate - aged 16-64,20599,Variable,68.2
employment,2012-03-01,Apr 2011-Mar 2012,E12000002,North West,regions,45,Employment rate - aged 16-64,21001,Numerator,3077700
employment,2012-03-01,Apr 2011-Mar 2012,E12000003,Yorkshire and The Humber,regions,45,Employment rate - aged 16-64,20599,Variable,67.5
employment,2012-03-01,Apr 2011-Mar 2012,E12000003,Yorkshire and The Humber,regions,45,Employment rate - aged 16-64,21001,Numerator,2279700
employment,2012-06-01,Jul 2011-Jun 2012,E12000001,North East,regions,45,Employment rate - aged 16-64,20599,Variable,65.2
employment,2012-06-01,Jul 2011-Jun 2012,E12000001,North East,regions,45,Employment rate - aged 16-64,21001,Numerator,1085300
employment,2012-06-01,Jul 2011-Jun 2012,E12000002,North West,regions,45,Employment rate - aged 16-64,20599,Variable,68.5
employment,2012-06-01,Jul 2011-Jun 2012,E12000002,North West,regions,45,Employment rate - aged 16-64,21001,Numerator,3090600
employment,2012-06-01,Jul 2011-Jun 2012,E12000003,Yorkshire and The Humber,regions,45,Employment rate - aged 16-64,20599,Variable,67.8
employment,2012-06-01,Jul 2011-Jun 2012,E12000003,Yorkshire and The Humber,regions,45,Employment rate - aged 16-64,21001,Numerator,2287100
employment,2012-09-01,Oct 2011-Sep 2012,E12000001,North East,regions,45,Employment rate - aged 16-64,20599,Variable,65.7
employment,2012-09-01,Oct 2011-Sep 2012,E12000001,North East,regions,45,Employment rate - aged 16-64,21001,Numerator,1092000
employment,2012-09-01,Oct 2011-Sep 2012,E12000002,North West,regions,45,Employment rate - aged 16-64,20599,Variable,68.5
employment,2012-09-01,Oct 2011-Sep 2012,E12000002,North West,regions,45,Employment rate - aged 16-64,21001,Numerator,3086300
employment,2012-09-01,Oct 2011-Sep 2012,E12000003,Yorkshire and The Humber,regions,45,Employment rate - aged 16-64,20599,Variable,68.5
employment,2012-09-01,Oct 2011-Sep 2012,E12000003,Yorkshire and The Humber,regions,45,Employment rate - aged 16-64,21001,Numerator,2311700
employment,2012-12-01,Jan 2012-Dec 2012,E12000001,North East,regions,45,Employment rate - aged 16-64,20599,Variable,66
employment,2012-12-01,Jan 2012-Dec 2012,E12000001,North East,regions,45,Employment rate - aged 16-64,21001,Numerator,1094400
employment,2012-12-01,Jan 2012-Dec 2012,E12000002,North West,regions,45,Employment rate - aged 16-64,20599,Variable,68.8
employment,2012-12-01,Jan 2012-Dec 2012,E12000002,North West,regions,45,Employment rate - aged 16-64,21001,Numerator,3096000
employment,2012-12-01,Jan 2012-Dec 2012,E12000003,Yorkshire and The Humber,regions,45,Employment rate - aged 16-64,20599,Variable,68.9
employment,2012-12-01,Jan 2012-Dec 2012,E12000003,Yorkshire and The Humber,regions,45,Employment rate - aged 16-64,21001,Numerator,2321600
employment,2013-03-01,Apr 2012-Mar 2013,E12000001,North East,regions,45,Employment rate - aged 16-64,20599,Variable,66.3
employment,2013-03-01,Apr 2012-Mar 2013,E12000001,North East,regions,45,Employment rate - aged 16-64,21001,Numerator,1098500
employment,2013-03-01,Apr 2012-Mar 2013,E12000002,North West,regions,45,Employment rate - aged 16-64,20599,Variable,69.1
employment,2013-03-01,Apr 2012-Mar 2013,E12000002,North West,regions,45,Employment rate - aged 16-64,21001,Numerator,3107200
employment,2013-03-01,Apr 2012-Mar 2013,E12000003,Yorkshire and The Humber,regions,45,Employment rate - aged 16-64,20599,Variable,69.6
employment,2013-03-01,Apr 2012-Mar 2013,E12000003,Yorkshire and The Humber,regions,45,Employment rate - aged 16-64,21001,Numerator,2346800
employment,2013-06-01,Jul 2012-Jun 2013,E12000001,North East,regions,45,Employment rate - aged 16-64,20599,Variable,66.4
employment,2013-06-01,Jul 2012-Jun 2013,E12000001,North East,regions,45,Employment rate - aged 16-64,21001,Numerator,1100500
employment,2013-06-01,Jul 2012-Jun 2013,E12000002,North West,regions,45,Employment rate - aged 16-64,20599,Variable,69.1
employment,2013-06-01,Jul 2012-Jun 2013,E12000002,North West,regions,45,Employment rate - aged 16-64,21001,Numerator,3103900
employment,2013-06-01,Jul 2012-Jun 2013,E12000003,Yorkshire and The Humber,regions,45,Employment rate - aged 16-64,20599,Variable,69.6
employment,2013-06-01,Jul 2012-Jun 2013,E12000003,Yorkshire and The Humber,regions,45,Employment rate - aged 16-64,21001,Numerator,2345900
employment,2013-09-01,Oct 2012-Sep 2013,E12000001,North East,regions,45,Employment rate - aged 16-64,20599,Variable,66.1
employment,2013-09-01,Oct 2012-Sep 2013,E12000001,North East,regions,45,Employment rate - aged 16-64,21001,Numerator,1094000
employment,2013-09-01,Oct 2012-Sep 2013,E12000002,North West,regions,45,Employment rate - aged 16-64,20599,Variable,69.2
employment,2013-09-01,Oct 2012-Sep 2013,E12000002,North West,regions,45,Employment rate - aged 16-64,21001,Numerator,3107900
employment,2013-09-01,Oct 2012-Sep 2013,E12000003,Yorkshire and The Humber,regions,45,Employment rate - aged 16-64,20599,Variable,69.5
