Name,Industry,Size,Postcode,LADCD
"Peppercorn AI Holdings Limited","Non-life insurance",10-49,CF11 9BE,W06000015
"Encore Environment Ltd","Environmental consulting",10-49,NN60BQ,E06000061
"MediaSight Ventures Ltd","Other personal services",10-49,WC2B 4HN,E09000033
"Bellevue Law","Legal activities",1-9,SW11 1NJ,E09000032
"Noughts & Ones","Other info service activities",1-9,BS2 8NX,E06000023
"Ignition Law Services Ltd","Legal activities",10-49,EC1R 0LT,E09000019
"Edwin Coe LLP","Legal activities",50-249,WC2A 3TH,E09000007
"Gort Scott","Architecture design & planning",10-49,SE1 4SN,E09000028
"Millwood Servicing ltd","Other personal services",10-49,SM6 7AT,E09000029
"3ADAPT","Environmental consulting",10-49,BA1 5BT,E06000022
"Modern Contradiction Limited","Beverages",1-9,SW1P 2PN,E09000033
"Intervl","Employment placement & HR",10-49,MK3 6DP,E06000042
"Freestyle Interactive Ltd","Other info service activities",10-49,CV35 0AA,E07000221
"Nucco","Advertising & market research",10-49,N11SD,E09000019
"Simitive Limited","Software publishing and SaaS platforms",50-249,BS1 1LT,E06000023
"Wave Refrigeration","Engineering",10-49,HX2 8DB,E08000033
"NutraTea","Beverages",1-9,HP2 7DL,E07000096
"PLATFORME INTERNATIONAL, LIMITED","Software publishing and SaaS platforms",10-49,CR0 1DN,E09000008
"Document Direct Limited","Other business support",10-49,CH41 6AU,E08000015
"YouView TV Ltd","Software publishing and SaaS platforms",50-249,E1 8FA,E09000030
"Queen's","Transportation support",10-49,W1T 3PH,E09000033
"Comrie Croft","Accommodation",10-49,PH7 4JZ,S12000048
"HdK","Web portals",10-49,N1 6SH,E09000012
"Gaze Burvill Ltd","Furniture",10-49,GU343QH,E07000085
"Star Linen UK","Other retail sale",10-49,CF82 7TT,W06000018
"Purdie Pascoe Ltd","Advertising & market research",10-49,SW11 4LR,E09000032
"Wine & Earth Limited","Beverages",1-9,GU1 1BA,E07000209
"OMNES Europe Limited","Apparel",10-49,W2 5EU,E09000033
"Studio Floc Ltd","Other personal services",1-9,BS13RD,E06000023
"Lostmy.name Ltd (t/a Wonderbly)","Book publishing",50-249,WC1N 2LD,E09000007
"TravelLocal","Web portals",10-49,TW9 2JA,E09000027
"Fund Boards Council","Other financial services",1-9,N17GU,E09000012
"Hue & Cry","Advertising & market research",10-49,WC1n 3QA,E09000007
"APC Cardiovascular Ltd","Medical & dental supplies",10-49,CW8 1PF,E06000050
"Endura ltd","Apparel",50-249,eh548sf,S12000040
"JBS Executive Education Limited","Education & training services",50-249,CB2 1AG,E07000008
"Program","Advertising & market research",1-9,EX1 1TS,E07000041
"Renourish Limited","Food products",1-9,GU3 3BH,E07000209
"Squiggle Consult LTD","Legal activities",10-49,TN25 6SX,E07000105
"Norman Rourke Pryme","Other professional, scientific & tech",50-249,SE1 0RF,E09000028
"Halcyon Development Partners","Real estate development",1-9,W1F 8 AJ,E09000033
"GS2 Partnership","Other professional, scientific & tech",1-9,RG21 4HG,E07000084
"PLAYin CHOC","Food products",10-49,SS9 2RZ,E06000033
"Jump in Puddles Consultancy","Management consultant - nonprofits",0,OX2 6RJ,E07000178
"FLOWERBX","General retail via Internet",50-249,NW10 6LD,E09000009
"Burtt-Jones & Brewer Ltd","Spec design (non-building)",1-9,W1T 4RH,E09000007
"We Are The Collaborators Limited","Advertising & market research",10-49,BS30 5RL,E06000025
"Faversham House Holdings Limited","Arts & entertainment",50-249,RH19 1UZ,E07000228
"Mon Dessert","Food products",1-9,SW2 3ST,E09000022
"Resident Advisor","Arts & entertainment",50-249,N1 5QT,E09000012
"Poynton Bradbury Architects","Architecture design & planning",10-49,TR26 2AD,E06000052
"Time Retail Partners Limited","Other professional, scientific & tech",10-49,W1W 8AW,E09000033
"Pembrokeshire Lamb","Animal Production",0,SA62 5LR,W06000009
"Artington Legal","Legal activities",1-9,WC2N 4JS,E09000033
"Morgan Latif","Other professional, scientific & tech",10-49,SW1W 0BD,E09000033
"Studio Dhesi","Other professional, scientific & tech",0,SE7 7NS,E09000011
"ESG PRO Limited","Management  consultant - for-profits",0,WR6 6TG,E07000235
"Farrell Associates Limited","Other professional, scientific & tech",1-9,HP4 3BF,E07000096
"Compelling Culture","Management  consultant - for-profits",0,TW17 9LQ,E07000213
"EFG European Furniture Group Ltd","Furniture",10-49,WA11 9UX,E08000013
"OVUM","Other retail sale",0,BA2 7SB,E06000022
"Cawston Press Ltd","Beverages",10-49,SE1 6AW,E09000028
"The Deck","Apparel",10-49,W1S 3PT,E09000033
"Environment Systems Limited","Other professional, scientific & tech",10-49,SY23 3AH,W06000008
"Hope Solutions Services Limited","Environmental consulting",1-9,BA5 1JJ,E06000066
"The White Company Ltd","General stores",1000+,W12 7FR,E09000013
"Future Shift Solutions Limited","Environmental consulting",1-9,BS1 5TB,E06000023
"Not in the Guidebooks Ltd","Other recreation",10-49,WD6 3JS,E07000098
"Gramafilm Limited","Film, TV & music production",10-49,EC2A 4NE,E09000012
"Double Dutch Drinks","Beverages",10-49,NW1 3ER,E09000007
"aer studios","Web portals",10-49,SN138PN,E06000054
"Goram Homes","Real estate development",1-9,BS41 9JN,E06000024
"Tilt Consulting","Engineering",10-49,EC1A 2BN,E09000001
"Mae Architects","Architecture design & planning",10-49,SE1 0HX,E09000028
"Frontier Networks Limited","Construction",10-49,YO25 8HG,E06000011
"See Through Stories Ltd","Film, TV & music production",1-9,TQ7 1JL,E07000044
"Grind Holdings Ltd","Food products",250-999,EC2A 4JA,E09000012
"FLOOR_STORY Ltd","Textiles",1-9,N1 7RF,E09000012
"Soanua Limited (t/a Rise & Fall)","General retail via Internet",10-49,NW66BG,E09000005
"ARC Marine","Other manufacturing",10-49,TQ25EG,E06000027
"BENCHMARK SPORT LIMITED","Other professional, scientific & tech",50-249,WC1V 6JS,E09000007
"Fourtold Holdings","Management  consultant - for-profits",10-49,HP13 6RU,E06000060
"Kaleidoscope","Advertising & market research",10-49,L3 9LQ,E08000012
"Lisa Franklin London","Personal care products",10-49,SW3 2EP,E09000020
"Re:signal","Advertising & market research",10-49,W2 6LG,E09000033
"Matilda Goad & Co.","General retail via Internet",1-9,NW10 3HA,E09000005
"Shakeup Cosmetics","Personal care products",1-9,BA2 3DZ,E06000022
"Lumity Life","Personal care products",10-49,W1U 6AG,E09000033
"Granger Reis","Management  consultant - for-profits",10-49,BS1 6NP,E06000023
"Only Studio Ltd","Other professional, scientific & tech",1-9,M1 1EA,E08000003
"Carterwood Limited","Other professional, scientific & tech",10-49,BS34 8RB,E06000025
"Archetype Agency Limited (UK)","Other info service activities",50-249,W1W 7RT,E09000033
"The Wonderful Creative Agency","Computer programming services",10-49,ME14 9DA,E07000110
"B&B studio","Other info service activities",10-49,N1 6DR,E09000012
"Explore Worldwide","Travel agency & related",50-249,GU14 7PA,E07000092
"The Root Co","Beverages",1-9,N1 8ED,E09000019
"Hovia Limited","Printing & recorded media",10-49,L1 0AR,E08000012
"erjjio","Web portals",1-9,E8 3RH,E09000012
"WildWash","Personal care products",1-9,HP7 0FA,E06000060
"BIC Innovation","Other professional, scientific & tech",10-49,LL60 6AG,W06000001
"Filbert's Fine Foods Limited","Food products",10-49,BA6 8NX,E06000066
"Ocean 14 Capital","Equity investing - Developed Markets",10-49,SW1X 7QA,E09000033
"SW Brands Limited","Intellectual property leasing ex-copyrighted",1-9,W1D3SG,E09000033
"Spacelab","Other install & construction",10-49,N1 7TA,E09000012
"Reheat","Other renewable energy installation",10-49,NE66 2PF,E06000057
"Evoluted","Other professional, scientific & tech",10-49,S3 7BH,E08000019
"Redsquid Communications LTD","Software publishing and SaaS platforms",10-49,WD61JH,E07000098
"Hertech Ltd","Other info service activities",0,E3 2GU,E09000030
"The Grove Media Limited","Advertising & market research",10-49,W10 5AD,E09000020
"Waggle Ltd","Spec design (non-building)",1-9,HP4 2AB,E07000096
"Clade Engineering Systems Group Ltd","Other power generation",50-249,BS167FR,E06000025
"Austin Design Works Ltd","Architecture design & planning",1-9,GL6 0DU,E07000082
"TRFF Ltd T/A Wildfarmed","Food products",10-49,W1T 3LN,E09000033
"Once Upon a Tuesday","Paper & paper products",1-9,TR4 9JG,E06000052
"Pizza Pilgrims","Restaurants & food service",250-999,W1F 7DD,E09000033
"Love Ocean","Personal care products",0,SO23 8SR,E07000094
"Evolution Money","Other credit - Developed Markets",50-249,M1 3BE,E08000003
"Carbis Partners","Other financial services",1-9,W1B 5LR,E09000033
"Collectivetech Limited (trading as RideTandem)","Other info service activities",10-49,WC1X 8LU,E09000007
"Proctor and Stevenson Limited","Other info service activities",50-249,BS5 0ES,E06000023
"The Alcohol Free Brewing Company Ltd. trading as UNLTD.","Beverages",1-9,SG13 8DU,E07000242
"HR Star","Employment placement & HR",1-9,GL50 1TY,E07000078
"Smash Marketing Limited","Other info service activities",1-9,NR7 8SQ,E07000144
"Odelay Films Ltd","Film, TV & music production",1-9,W1F 7LY,E09000033
"Anglepoise","Electrical equipment",10-49,PO7 6XP,E07000094
"Perigon Partners Ltd","Management  consultant - for-profits",1-9,EH37 5UT,S12000019
"Acumentice Ltd","Management  consultant - for-profits",10-49,SE1 3LE,E09000028
"Big Potato Holdings Limited","Games & toys",10-49,EC2a 4EA,E09000019
"Inhabit","Environmental consulting",1-9,E8 4QN,E09000012
"LC Energy","Other renewable energy installation",10-49,GU5 0LA,E07000216
"Hartley Law Limited","Legal activities",1-9,GU15 3YL,E07000214
"The Clearing","Advertising & market research",10-49,SE1 9DG,E09000028
"Pixel Fridge","Other professional, scientific & tech",1-9,EX8 1DL,E07000040
"Abstrakt","Other professional, scientific & tech",1-9,NG1 1LL,E06000018
"The Electric Car Scheme","Other financial services",10-49,UB3 1HA,E09000017
"Inspirational Development Group","Other education",10-49,SL5 0PP,E06000040
"The Whisky Stock Ltd","Beverages",1-9,M26 1LN,E08000002
"OnHand","Technology-based support services",10-49,NE20 9NH,E06000057
"Nutral Solutions Limited","Other professional, scientific & tech",1-9,LS179BF,E08000035
"MOOand BOOM","Other retail sale",1-9,SY13 1AA,E06000051
"Projects","Membership organizations",1-9,BN11AD,E06000043
"Margetts Fund Management","Investment advising",50-249,B1 3JR,E08000025
"H&A","Management  consultant - for-profits",1-9,FK8 3AF,S12000030
"Ourselves","Advertising & market research",1-9,TR5 0UX,E06000052
"Flaunt Digital","Other professional, scientific & tech",10-49,LS11 9YJ,E08000035
"Ave","Advertising & market research",1-9,N7 9DP,E09000019
"Teals","Food products",10-49,BA22 7FS,E06000066
"Applied","Software publishing and SaaS platforms",10-49,WC2H 9JQ,E09000007
"Flavor Sampling Ltd.","Advertising & market research",1-9,RH6 7JL,E07000211
"Exodus Adventure Travels Ltd","Travel agency & related",50-249,KT6 4BH,E09000021
"MCSA Cafe Holdings Ltd","Restaurants & food service",50-249,W1T 1SW,E09000007
"Dalston's","Beverages",1-9,EC1M 6HA,E09000019
"Keyboards & Dreams","Other business support",1-9,E161ZA,E09000025
"Sustainable Wedding Alliance","Membership organizations",0,RG17 8NZ,E06000037
"Cornish Gems","Accommodation",50-249,TR4 9LD,E06000052
"WeEngage Group","Employment placement & HR",1-9,EC1V9DD,E09000019
"Nuevo Agency Ltd","Advertising & market research",10-49,BH15 1HA,E06000058
"xtonnes","Other professional, scientific & tech",1-9,EC2A 4NE,E09000012
"Automedi Limited","Other manufacturing",1-9,LS1 2QH,E08000035
"Titus Learning","Other info service activities",10-49,BD18 3LA,E08000032
"SOJO","Other professional, scientific & tech",1-9,N1 4FG,E09000012
"ZLC Energy Ltd","Solar panel installation",10-49,PL14 4DH,E06000052
"Benefiz Ltd","Other financial services",10-49,EX3 0PZ,E07000040
"Happy Butter","Food products",1-9,TQ11 0NR,E07000045
"houseofdotcom","Electrical equipment",1-9,E8 3QE,E09000012
"gogeta","Software publishing and SaaS platforms",1-9,EC2v 7PG,E09000001
"Mosaic Health Ltd (t/a Mo.health)","Technology-based support services",1-9,W1W 7LT,E09000033
"DUVET HOG","Textiles",0,GU3 2AP,E07000209
"Storythings","Advertising & market research",1-9,BN1 4AJ,E06000043
"Baxendale Employee Ownership Limited","Legal activities",1-9,SE1 9RS,E09000028
"Vox Pops International","Film, TV & music production",10-49,SW19 1NE,E09000024
"The Wisdom Council","Other professional, scientific & tech",10-49,EC4R 0AA,E09000001
"Zero Gravity","Other info service activities",10-49,EC1A 7ES,E09000001
"Sherrington Associates","Management  consultant - for-profits",1-9,CH12LF,E06000050
"After Noah Ltd","General stores",10-49,N1 1QP,E09000019
"5874 Commerce","Web portals",10-49,B1 2RA,E08000025
"Rise Beyond","Management  consultant - for-profits",1-9,EC2A 4NE,E09000012
"Brockmans Gin Ltd","Beverages",10-49,W1D 3QX,E09000033
"The Curious Beetle","Management  consultant - for-profits",0,HA1 SX1,
"Onesixth Expeditions","Travel agency & related",1-9,SW165YP,E09000022
"Wildanet Limited","Telecommunications",50-249,PL14 6BT,E06000052
"HG&Co Ltd","Beverages",50-249,CM83YE,E07000067
"Atkinsons Coffee Roasters","Beverages",10-49,LA1 1EX,E07000121
"C&C Search Ltd","Employment placement & HR",10-49,WC1V 6DF,E09000007
"Wallace Health","Advertising & market research",10-49,EC3M 6BL,E09000001
"Popcorn Learning Media","Management  consultant - for-profits",10-49,ST4 1QE,E06000021
"Paul Harper Search & Selection Limited","Employment placement & HR",1-9,BS40 7RE,E06000024
"Talk Works","Other human health",1-9,NE8 1AN,E08000037
"The Discourse","Other professional, scientific & tech",1-9,BS7 8AA,E06000023
"Hilson Moran","Civil engineering",50-249,SE1 2HP,E09000028
"@BambuuBrush Ltd","Personal care products",0,SG4 0TY,E07000099
"Naturally Tribal Skincare Limited","Personal care products",1-9,MK11 1AY,E06000042
"Muckle LLP","Legal activities",50-249,NE1 4BF,E08000021
"smol","Cleaning products",50-249,RH10 1DQ,E07000226
"Fishtank Agency","Web portals",10-49,WF148HE,E08000034
"Hedgehog Invest Limited","Other financial services",10-49,W1W 5PF,E09000033
"BGF","Equity investing - Developed Markets",50-249,WC2N 6JU,E09000033
"Beechurst Serviced Apartments","Accommodation",1-9,GL51 6RT,E07000078
"Annabel's Deliciously British Ltd","Agicultural support/post-harvest",1-9,LS25DZ,E08000035
"Streets Heaver Computer Systems Ltd.","Software publishing and SaaS platforms",50-249,LN6 3QN,E07000139
"Manilife Ltd","Food products",10-49,SW8 5EL,E09000032
"Socius","Real estate development",10-49,W1F 0DQ,E09000033
"Desmond & Dempsey","Apparel",10-49,SW2 5SG,E09000022
"Eunomia Research and Consulting LTD","Environmental consulting",50-249,BS14QS,E06000023
"Planes","Other info service activities",10-49,E2 8HD,E09000012
"5 Values Consulting Group Ltd","Other info service activities",10-49,BS2 0JA,E06000023
"Travel Trade Consultancy","Management  consultant - for-profits",10-49,EC2A 4BT,E09000012
"Omega RE","Other professional, scientific & tech",1-9,SO15 2BE,E06000045
"TPXimpact","Other professional, scientific & tech",250-999,E1 1EW,E09000030
"TTG Media","Publishing - newspapers & magazines",10-49,SE1 8HP,E09000028
"Cream UK Limited","Advertising & market research",10-49,EC2A 4PS,E09000012
"AWO Agency","Other info service activities",10-49,TQ12 4AA,E07000045
"FarrPoint","Management  consultant - for-profits",10-49,EH3 8BL,S12000036
"Spotless Interactive Ltd","Other professional, scientific & tech",10-49,EC1V 9BJ,E09000019
"KleanDrive Limited","Other renewable energy installation",1-9,CM9 6PN,E07000074
"The Sport, Leisure and Culture Consultancy (SLC)","Management consultant - nonprofits",1-9,RH16 1UA,E07000228
"Dealscribe","Other info service activities",10-49,EC1N 2SW,E09000007
"Banner Limited","Textiles",250-999,BA14 8RN,E06000054
"Tiny Explorer Apparel Limited","Apparel",1-9,LE67 2AA,E07000134
"Forstå Projects","Environmental consulting",1-9,HG1 1JX,E06000065
"SEC Newgate UK","Other professional, scientific & tech",50-249,EC1N 8SB,E09000007
"Lintbells Health Limited","Other retail sale",50-249,SG4 7DP,E07000099
"KOcycle","Other info service activities",10-49,CM7 3RU,E07000067
"Good & Proper Tea Co Ltd","Beverages",1-9,SE1 9EQ,E09000028
"Precede Capital Partners","Other credit - Developed Markets",10-49,W1J 8DZ,E09000033
"Information Facilities Management Limited","Facilities & cleaning services",1-9,SN6 6DP,E06000054
"Out of the Box Gifts","Other/general wholesale trade",0,WA16 9RZ,E06000049
"31ten Consulting","Management  consultant - for-profits",10-49,SE1 4PL,E09000028
"Health & Happiness UK Limited","Personal care products",50-249,W6 0LE,E09000013
"Scamp & Dude","Apparel",10-49,SL7 1AW,E06000060
"Biles Hendry","Other professional, scientific & tech",1-9,SE1 7LY,E09000022
"No Brainer Agency","Advertising & market research",10-49,WA4 6HL,E06000007
"BW Business Accountants & Advisers","Accounting & auditing",1-9,BS9 4PN,E06000023
"Cadence Innova Ltd","Management  consultant - for-profits",50-249,E1 8FA,E09000030
"Medik8 Ltd","Personal care products",50-249,WD6 3SZ,E07000098
"Statement Group Limited (trading as NOVOS)","Other professional, scientific & tech",10-49,SE1 9EQ,E09000028
"STITCHES + STEEL","Other retail sale",1-9,CO2 0LT,E07000071
"Material UK (Scotland) Limited","Other business support",10-49,G1 1HJ,S12000049
"Heyne Tillett Steel","Architecture design & planning",50-249,N1 6DD,E09000012
"Absolute PR and Marketing Ltd","Other info service activities",1-9,EX2 9UA,E07000045
"Butterfly Projects Ltd t/a Butterfly Data","Other info service activities",10-49,CF5 5TD,W06000015
"Kelpi","Scientific R&D",10-49,BS2 0NS,E06000023
"Mackman Group","Advertising & market research",10-49,co10 2td,E07000200
"Bloom & Wild Group","General retail via Internet",250-999,SE11 5JH,E09000022
"Hadley Property Group Holdings Limited","Real estate development",10-49,SE1 2ES,E09000028
"Oru Space Ltd","Membership organizations",10-49,SE22 8HN,E09000028
"Lightrock","Equity investing - Developed Markets",10-49,SW1Y 6AF,E09000033
"Eyespace Eyewear","Apparel",10-49,B60 4BD,E07000234
"Oakland International Ltd","Transportation support",250-999,B98 9DD,E07000234
"Gusto Group Ltd","Design & building",10-49,NG23 7DX,E07000175
"Create and adapt limited","Management  consultant - for-profits",10-49,BS30 5RL,E06000025
"Speakers Corner (London) Ltd","Other business support",10-49,EC1Y 8RQ,E09000019
"Cause UK","Other business support",1-9,EC1V 2NX,E09000019
"Lincoln Private Investment Office","Investment advising",10-49,SW1W 0DH,E09000033
"Energy Efficient Solutions Group","Solar panel installation",50-249,RG12 1RW,E06000036
"Stewardship Wealth","Pension/retirement plans",1-9,AB51 5NQ,S12000034
"Muckle Brig","Beverages",10-49,EH6 6HB,S12000036
"Sprints","Equity investing - Developed Markets",10-49,SW1Y 6LB,E09000033
"dRMM","Architecture design & planning",10-49,SE1 2TU,E09000028
"Mantis World Ltd","Apparel",10-49,W9 2HH,E09000033
"The Cirkle Partnership Ltd","Advertising & market research",50-249,WC2A 1AN,E09000001
"10x Banking Technology Holdings Limited","Software publishing and SaaS platforms",250-999,EC1N 2HT,E09000001
"Premier Print & Promotions Ltd","Other/general wholesale trade",10-49,CO59SE,E07000067
"Tokoro Capital LLP","Equity investing - Developed Markets",1-9,W1S 1BG,E09000033
"Hiyield","Computer programming services",10-49,TR1 2DJ,E06000052
"Impacters Group","Management  consultant - for-profits",0,SE1 7FP,E09000022
"Multi-Realm","Facilities & cleaning services",50-249,BA16 0FB,E06000066
"Gosnells Beverages Ltd","Food products",10-49,SE15 4RF,E09000028
"Jardin Living ltd","Apparel",0,CH1 1QE,E06000050
"Institute of Employability Professionals Ltd","Employment placement & HR",1-9,EC2A 4NE,E09000012
"Day 2 Interiors Ltd","Furniture",10-49,EC1R 0DG,E09000019
"We Mean This","Spec design (non-building)",1-9,SO23 9EH,E07000094
"Lead Technologies (Europe) Limited","Advertising & market research",10-49,LS21 1FD,E08000035
"The Women's Chapter (Trading under World At Your Feet Communications)","Management  consultant - for-profits",1-9,GU5 0DY,E07000216
"Greener Energy Futures","Environmental consulting",0,BS9 1SH,E06000023
"Wonderland Communications","Advertising & market research",10-49,BS1 5SY,E06000023
"Cripps LLP","Legal activities",250-999,TN4 8AS,E07000116
"Arum Holdings Limited","Management  consultant - for-profits",50-249,NG1 5FW,E06000018
"Carallon Ltd","Computer & electronic products",50-249,W4 5QB,E09000018
"Gibsons Games Ltd.","Games & toys",10-49,SM1 4AF,E09000029
"Trigon DM","Other business support",1-9,W1U 5LR,E09000033
"Future Business Partnership","Equity investing - Developed Markets",1-9,SE1 7PB,E09000022
"Qubeeo Limited trading as StoryStream","Software publishing and SaaS platforms",10-49,BN1 2RE,E06000043
"Rigrun Ltd","Other human health",1-9,AB10 6UT,S12000033
"Mission Control Ltd","Arts & entertainment",1-9,BA9 8JJ,E06000066
"oomph agency services ltd","Advertising & market research",1-9,NP7 5AN,W06000021
"Trafalgar Marquees","Rent/lease: other goods",1-9,RH14 0LW,E07000225
"Sainty Hird & Partners Limited","Other professional, scientific & tech",10-49,W1K 6PL,E09000033
"NuGreen Ltd","Scientific R&D",1-9,LA6 2DY,E06000064
"Lamington Group","Real estate development",50-249,W6 0NQ,E09000013
"sString Limited","Management  consultant - for-profits",10-49,RH2 7JN,E07000211
"Collectiv Food","Food products",10-49,W12 7FP,E09000013
"Majestical","Film, TV & music production",0,CW12 4NN,E06000049
"Desklodge","Membership organizations",10-49,BS1 6NL,E06000023
"eargym Ltd","Other personal services",1-9,EC1N 8LE,E09000007
"Household Design Ltd","Other professional, scientific & tech",10-49,EC2A 3BX,E09000012
"Core3","Employment placement & HR",1-9,BS1 6BX,E06000023
"ONQOR LTD","Advertising & market research",10-49,EC1V 2PT,E09000019
"Nuud Snacks Ltd","Food products",1-9,E2 7DD,E09000012
"Ayres Punchard Investment Management Limited","Investment advising",0,PO38 2DF,E06000046
"Marmot Tours Road Cycling Holidays","Other sports",1-9,BA11 4FN,E06000066
"PÄRLA Toothpaste Tabs","Personal care products",1-9,B16 8SP,E08000025
"DOS & Co.","Legal activities",1-9,SE1 7SJ,E09000022
"Something™","Advertising & market research",10-49,W1W 7TE,E09000033
"Home","Other professional, scientific & tech",10-49,BS4 4EX,E06000023
"Ebonstone Limited","Legal activities",1-9,BA1 1BT,E06000022
"APG Architecture","Architecture design & planning",10-49,BS2 8QH,E06000023
"OC&C Strategy Consultants","Management  consultant - for-profits",250-999,EC4A 3AT,E09000001
